# PVS-Studio Spider analyzed revisions
# format: <slug> <git-commit>
4diac-forte      c0b0dff
GameNetworkingSockets e707b3a
assimp           ff7b4ca
benchmark        e3f7ba7
box2d            56edae7
brotli           8e10eeb
catch2           4cde128
cereal           22a1b36
civetweb         588860e
cppcheck         4b0c239
cppkafka         9c5ea0e
curl             26fdb92
doctest          d44d4f6
double-conversion 9ae489f
far2l            b2de9c9
flatbuffers      81edeb1
flylinkdc-hub    80e950d
fmt              4f645a8
gflags           bdda022
glog             53d58e4
googletest       d89aac5
haproxy          33765cf
highway          afe0998
jsoncpp          60de77f
leveldb          7ee830d
libarchive       682a87b
libmdbx          9d7c524
libpng           cae4745
librats          47077f2
librdkafka       0623a30
libtorrent       a702489
libuv            a6d06ba
libzmq           4649337
lighttpd         2ddc513
lz4              0774d05
mimalloc         fc1e2ac
mtproxy          f36d8af
nlohmann-json    21af527
onetbb           fe9bfc5
open62541        7fdcd9c
pugixml          27b6832
range-v3         108f93c
rapidjson        24b5e7a
re2              972a15c
simdjson         20b2871
snappy           747488a
spdlog           f5f173a
taskflow         83f90a2
tinyxml2         8224e42
verlihub         0f33cdd
wolfssl          14a72c9
wxWidgets        8d8967a
yaml-cpp         3eb39d5
zlib-ng          7cf22b9
zstd             82d322c
